[2017-06-19 22:10:13,155] INFO org.github.dragos.vscode.Main$ - Starting server in /home/gane-dev/scala-projects/scala-source-control
[2017-06-19 22:10:13,155] INFO org.github.dragos.vscode.Main$ - Starting server in /home/gane-dev/scala-projects/scala-source-control
[2017-06-19 22:10:13,180] INFO org.github.dragos.vscode.Main$ - Classpath: /home/gane-dev/.vscode/extensions/dragos.scala-lsp-0.1.4/coursier
[2017-06-19 22:10:13,180] INFO org.github.dragos.vscode.Main$ - Classpath: /home/gane-dev/.vscode/extensions/dragos.scala-lsp-0.1.4/coursier
[2017-06-19 22:10:13,832] INFO akka.event.slf4j.Slf4jLogger - Slf4jLogger started
[2017-06-19 22:10:14,571] INFO org.github.dragos.vscode.EnsimeLanguageServer - Initialized with 3774, /home/gane-dev/scala-projects/scala-source-control, ClientCapabilities()
[2017-06-19 22:10:14,571] INFO org.github.dragos.vscode.EnsimeLanguageServer - Initialized with 3774, /home/gane-dev/scala-projects/scala-source-control, ClientCapabilities()
[2017-06-19 22:10:14,883] ERROR langserver.core.Connection - No notification type exists with method=initialized
[2017-06-19 22:10:14,883] ERROR langserver.core.Connection - No notification type exists with method=initialized
[2017-06-19 22:10:21,280] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 27).
[2017-06-19 22:10:21,280] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 27).
[2017-06-19 22:10:21,837] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:21,837] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:22,648] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 27).
[2017-06-19 22:10:22,648] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 27).
[2017-06-19 22:10:22,697] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:22,697] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:23,249] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 27).
[2017-06-19 22:10:23,249] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 27).
[2017-06-19 22:10:23,455] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:23,455] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:44,949] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (20, 35).
[2017-06-19 22:10:44,949] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (20, 35).
[2017-06-19 22:10:45,005] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:45,005] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:47,089] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (8, 15).
[2017-06-19 22:10:47,089] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (8, 15).
[2017-06-19 22:10:47,177] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:47,177] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:49,824] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (4, 25).
[2017-06-19 22:10:49,824] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (4, 25).
[2017-06-19 22:10:50,206] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:50,206] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:50,656] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (7, 21).
[2017-06-19 22:10:50,656] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (7, 21).
[2017-06-19 22:10:50,707] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:50,707] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:51,159] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (11, 31).
[2017-06-19 22:10:51,159] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (11, 31).
[2017-06-19 22:10:51,342] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:10:51,342] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:05,312] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (19, 41).
[2017-06-19 22:11:05,312] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (19, 41).
[2017-06-19 22:11:05,600] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:05,600] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:05,851] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (19, 39).
[2017-06-19 22:11:05,851] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (19, 39).
[2017-06-19 22:11:06,180] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:06,180] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:06,330] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (19, 39).
[2017-06-19 22:11:06,330] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (19, 39).
[2017-06-19 22:11:06,546] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:06,546] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:06,895] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 34).
[2017-06-19 22:11:06,895] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 34).
[2017-06-19 22:11:06,957] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:06,957] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:09,363] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 13).
[2017-06-19 22:11:09,363] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 13).
[2017-06-19 22:11:10,159] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:10,159] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:11,096] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 58).
[2017-06-19 22:11:11,096] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 58).
[2017-06-19 22:11:11,171] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:11,171] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:12,021] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 12).
[2017-06-19 22:11:12,021] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 12).
[2017-06-19 22:11:12,703] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
